id,row,section,question,engineStatus,actualAnswer,sourceStatus,nextAction
20,175,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מאיזו יבשת יבקיעו יותר שערים בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
21,178,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם כל השחקנים יכבשו ביחד לפחות 15 שערים לזכות נבחרתם בשלב הבתים ?,already_closed,כן,verified_manual,לא נוגע - כבר סגור/מאומת
22,180,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יבקיע יותר שערים בנגיחה בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
23,182,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מאיזו יבשת יבקיעו יותר שערים בנגיחה בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
24,185,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם כל השחקנים יכבשו בנגיחה ביחד לפחות 2 שערים לזכות נבחרתם בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
25,187,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יבשל יותר שערים בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
26,189,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מאיזו יבשת יבשלו יותר שערים בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
27,192,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם כל השחקנים יבשלו ביחד לפחות 3 שערים לזכות נבחרתם בשלב הבתים ?,already_closed,כן,verified_manual,לא נוגע - כבר סגור/מאומת
28,194,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם  יישלף כרטיס אדום לאחד מהשחקנים בשלב הבתים ? (****),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
29,196,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**","מי מהשחקנים יכבוש ביותר משחקים יותר משער אחד למשחק (צמד, שלושער ועוד) בשלב הבתים ?",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
30,198,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**","שחקנים מאיזו יבשת יכבשו יותר משער אחד למשחק (צמד, שלושער ועוד) בשלב הבתים ?",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
31,201,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",האם כל השחקנים יכבשו ביחד לפחות 5 צמדים (או יותר) בשלב הבתים ?,already_closed,כן,verified_manual,לא נוגע - כבר סגור/מאומת
32,203,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",מי מהשחקנים יחליף/יוחלף הכי הרבה פעמים בשלב הבתים ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
33,205,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",שחקנים מאיזו יבשת יוחלפו/יחליפו יותר פעמים בשלב הבתים ? (**),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
34,208,"דיאז (קולומביה) + ויניסיוס (ברזיל) + מסי (ארגנטינה) VS. קיין (אנגליה) + רונאלדו (פורטוגל) + אמבפה (צרפת) VS. מאנה (סנגל), נסירי (מרוקו), סאלח (מצרים)**",לאיזו יבשת יהיו יותר ניצחונות בשלב הבתים של הנבחרות עם השחקנים המופיעים בראש בראש ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
35,259,בונוס עולות | 6,האם יישרקו לפחות 7 פנדלים בשלב 1/16 הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
36,261,בונוס עולות | 6,האם יהיה משחק שיגמר בהפרש של 5 שערים ומעלה בשלב 1/16 הגמר (ללא הארכה) ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
37,263,בונוס עולות | 6,"מס' השערים הגדול ביותר ב- 1/16 שיובקע במשחק אחד ע""י קבוצה אחת (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
38,265,בונוס עולות | 6,"מס' השערים הגדול ביותר ב- 1/16 שיובקע במשחק אחד ע""י שתי הקבוצות (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
39,267,בונוס עולות | 6,האם יהיו לפחות 4 שחקנים שיכבשו צמד שערים (או יותר) לזכות קבוצתם בשלב 1/16 הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
40,269,בונוס עולות | 6,האם יקרה מצב של מהפך בתוצאה בלפחות שלושה משחקי 1/16 הגמר (ללא הארכה) ? (***),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
41,271,בונוס עולות | 6,האם יישלפו לפחות 3 כרטיסים אדומים במשחקי 1/16 הגמר ? (****),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
42,273,בונוס עולות | 6,הדקה בה יובקע השער המהיר בשלב 1/16 הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
43,275,בונוס עולות | 6,הדקה בה יובקע השער המאוחר בשלב 1/16 הגמר ? (ללא הארכה),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
44,277,בונוס עולות | 6,האם ייכבש לפחות שער עצמי אחד במשחקי 1/16 הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
45,301,בונוס עולות | 16,האם יישרקו לפחות 4 פנדלים בשלב שמינית הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
46,303,בונוס עולות | 16,האם יהיה משחק שיגמר בהפרש של 4 שערים ומעלה בשלב שמינית הגמר (ללא הארכה) ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
47,305,בונוס עולות | 16,"מס' השערים הגדול ביותר בשמינית שיובקע במשחק אחד ע""י קבוצה אחת (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
48,307,בונוס עולות | 16,"מס' השערים הגדול ביותר בשמינית שיובקע במשחק אחד ע""י שתי הקבוצות (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
49,309,בונוס עולות | 16,האם יהיו לפחות 2 שחקנים שיכבשו צמד שערים (או יותר) לזכות קבוצתם בשלב שמינית הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
50,311,בונוס עולות | 16,האם יקרה מצב של מהפך בתוצאה בלפחות שני משחקי שמינית הגמר (ללא הארכה) ? (***),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
51,313,בונוס עולות | 16,האם יישלפו לפחות 2 כרטיסים אדומים במשחקי שמינית הגמר ? (****),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
52,315,בונוס עולות | 16,הדקה בה יובקע השער המהיר בשלב שמינית הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
53,317,בונוס עולות | 16,הדקה בה יובקע השער המאוחר בשלב שמינית הגמר ? (ללא הארכה),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
54,319,בונוס עולות | 16,האם בלפחות 6 משחקים בשמינית הגמר ייכבש שער במחצית הראשונה ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
55,335,בונוס עולות | 16,האם יישרקו לפחות 2 פנדלים בשלב רבע הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
56,337,בונוס עולות | 16,האם יהיה משחק ברבע הגמר שיגמר בהפרש של 3 שערים ומעלה בשלב רבע הגמר (ללא הארכה) ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
57,339,בונוס עולות | 16,"מס' השערים הגדול ביותר ברבע הגמר שיובקע במשחק אחד ע""י קבוצה אחת (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
58,341,בונוס עולות | 16,"מס' השערים הגדול ביותר ברבע הגמר שיובקע במשחק אחד ע""י 2 הקבוצות (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
59,343,בונוס עולות | 16,האם יהיה ברבע הגמר שחקן שיכבוש צמד שערים (או יותר) לזכות קבוצתו ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
60,345,בונוס עולות | 16,האם יקרה מצב של מהפך בתוצאה באחד ממשחקי רבע הגמר (ללא הארכה) ? (***),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
61,347,בונוס עולות | 16,האם יישלף לפחות כרטיס אדום אחד במשחקי רבע הגמר ? (****),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
62,349,בונוס עולות | 16,הדקה בה יובקע השער המהיר בשלב רבע הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
63,351,בונוס עולות | 16,הדקה בה יובקע השער המאוחר בשלב רבע הגמר ? (ללא הארכה),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
64,353,בונוס עולות | 16,האם בלפחות 3 משחקים ברבע הגמר ייכבש שער במחצית הראשונה ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
65,365,בונוס עולות | 8,האם יישרק לפחות פנדל אחד בשלב חצי הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
66,367,בונוס עולות | 8,האם יהיה משחק בחצי הגמר שיגמר בהפרש של 3 שערים ומעלה בשלב חצי הגמר (ללא הארכה) ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
67,369,בונוס עולות | 8,"מס' השערים הגדול ביותר בחצי הגמר שיובקע במשחק אחד ע""י קבוצה אחת (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
68,371,בונוס עולות | 8,"מס' השערים הגדול ביותר בחצי הגמר שיובקע במשחק אחד ע""י 2 הקבוצות (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
69,373,בונוס עולות | 8,האם יהיה בחצי הגמר שחקן שיכבוש צמד שערים (או יותר) לזכות קבוצתו ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
70,375,בונוס עולות | 8,האם יקרה מצב של מהפך בתוצאה באחד ממשחקי חצי הגמר (ללא הארכה) ? (***),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
71,377,בונוס עולות | 8,האם יישלף לפחות כרטיס אדום אחד במשחקי חצי הגמר ? (****),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
72,379,בונוס עולות | 8,הדקה בה יובקע השער המהיר בשלב חצי הגמר ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
73,381,בונוס עולות | 8,הדקה בה יובקע השער המאוחר בשלב חצי הגמר ? (ללא הארכה),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
74,383,בונוס עולות | 8,האם בכל אחד משני משחקי חצי הגמר ייכבש שער במחצית הראשונה ?,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
75,395,"(*) ""הניחושים המיוחדים""",מלך השערים של הטורניר,locked_not_answered_now,לא ידוע + מס' השערים שיבקיע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
76,397,"(*) ""הניחושים המיוחדים""",מלך הבישולים של הטורניר,locked_not_answered_now,לא ידוע + מס' השערים שיבשל,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
77,399,"(*) ""הניחושים המיוחדים""",הנבחרת שיישרקו לזכותה הכי הרבה פנדלים בטורניר,locked_not_answered_now,לא ידוע + מס' הפנדלים שיישרקו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
78,401,"(*) ""הניחושים המיוחדים""",הנבחרת שיישרקו לחובתה הכי הרבה פנדלים בטורניר,locked_not_answered_now,לא ידוע + מס' הפנדלים שיישרקו: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
79,403,"(*) ""הניחושים המיוחדים""",הנבחרת שתכבוש הכי הרבה שערים בטורניר,locked_not_answered_now,לא ידוע + מס' השערים שתבקיע: לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
80,405,"(*) ""הניחושים המיוחדים""","מס' השערים הגדול ביותר שיובקע במשחק אחד ע""י שתי הקבוצות (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
81,407,"(*) ""הניחושים המיוחדים""","מס' השערים הגדול ביותר שיובקע במשחק אחד ע""י קבוצה אחת (לא כולל הארכה ופנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
82,409,"(*) ""הניחושים המיוחדים""","מס' השערים הגדול ביותר שיובקע ע""י הקבוצה המפסידה במשחק (ב- 90 דקות)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
83,411,"(*) ""הניחושים המיוחדים""",הפרש השערים הגדול ביותר בניצחון של קבוצה במהלך משחק בטורניר,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
84,413,"(*) ""הניחושים המיוחדים""",הפרש השערים הגדול ביותר במחצית המשחק,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
85,415,"(*) ""הניחושים המיוחדים""",מס' השערים שיובקעו בתוספות הזמן של המשחקים במהלך הטורניר (מעבר לדקה 90 ו- 120),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
86,417,"(*) ""הניחושים המיוחדים""",תוצאת התיקו הגבוהה שתהיה במהלך הטורניר בתום 90 דקות,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
87,419,"(*) ""הניחושים המיוחדים""",תוצאת התיקו השכיחה שתהיה במהלך הטורניר בתום 90 דקות,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
88,421,"(*) ""הניחושים המיוחדים""",התוצאה השכיחה ביותר שתהיה במהלך הטורניר בתום 90 דקות,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
89,423,"(*) ""הניחושים המיוחדים""",מס' המשחקים אשר יכנסו להארכה,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
90,425,"(*) ""הניחושים המיוחדים""",מס' המשחקים אשר יוכרעו בפנדלים,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
91,427,"(*) ""הניחושים המיוחדים""","מס' הפנדלים הרב ביותר שייפסקו במשחק אחד (כולל הארכה, לא כולל דו קרב פנדלים)",locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
92,429,"(*) ""הניחושים המיוחדים""",מס' המורחקים הרב ביותר שיורחקו במשחק אחד (כולל הארכה),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
93,431,"(*) ""הניחושים המיוחדים""",מס' הפנדלים הרב ביותר שייבעטו במסגרת דו קרב פנדלים (**),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
94,433,"(*) ""הניחושים המיוחדים""",מס' הפנדלים המוחמצים הגדול ביותר של קבוצה אחת בדו קרב פנדלים (**),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
95,435,"(*) ""הניחושים המיוחדים""",מס' הפנדלים המוחמצים הגדול ביותר של שתי הקבוצות בדו קרב פנדלים (**),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
96,437,"(*) ""הניחושים המיוחדים""",הדקה בה יובקע השער המהיר בטורניר,already_closed,דקות 1-2,verified_manual,לא נוגע - כבר סגור/מאומת
97,439,"(*) ""הניחושים המיוחדים""",הדקה בה יובקע השער המאוחר בטורניר (ללא הארכה),already_closed,דקה 100 +,verified_manual,לא נוגע - כבר סגור/מאומת
98,441,"(*) ""הניחושים המיוחדים""",הדקה בה יישלף הכרטיס האדום הכי מהיר בטורניר,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
99,443,"(*) ""הניחושים המיוחדים""",הדקה בה יישלף הכרטיס האדום הכי מאוחר בטורניר,already_closed,תוספת הזמן,verified_uploaded_file,לא נוגע - כבר סגור/מאומת
100,445,"(*) ""הניחושים המיוחדים""",מס' השערים הגדול ביותר שתכבוש קבוצה אחת במהלך הארכה אחת (***),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
101,447,"(*) ""הניחושים המיוחדים""",מס' השערים הגדול ביותר שיכבשו שתי הקבוצות במהלך הארכה אחת (***),locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
102,449,"(*) ""הניחושים המיוחדים""",הנבחרת הזוכה בטורניר,locked_not_answered_now,לא ידוע,pending,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
103,454,"(*) ""המסלול המהיר"" | כן/לא",האם יוחמצו לפחות 6 פנדלים במסגרת משחקי שלב הבתים ?,locked_not_answered_now,לא ידוע,fast_track_daily_check_required,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
104,456,"(*) ""המסלול המהיר"" | כן/לא",האם תהיינה לפחות 3 קבוצות אשר יפסידו בכל שלושת משחקי שלב הבתים ?,locked_not_answered_now,לא ידוע,fast_track_daily_check_required,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
105,458,"(*) ""המסלול המהיר"" | כן/לא",האם תהיינה לפחות 4 נבחרות אשר תנצחנה בכל שלושת משחקי שלב הבתים ?,locked_not_answered_now,לא ידוע,fast_track_daily_check_required,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
106,460,"(*) ""המסלול המהיר"" | כן/לא",האם תהיה נבחרת שלא תבקיע לפחות 2 שערים בשלב הבתים ?,locked_not_answered_now,לא ידוע,fast_track_daily_check_required,לא נסגר אוטומטית; דורש בדיקת מנהל לפי הסקשן
